Слово;Частота;Частота(%)
p;5431;7.91472
и;1383;2.01548
в;1300;1.89452
не;1051;1.53165
что;1024;1.4923
на;864;1.25913
Элла;742;1.08133
с;576;0.839418
он;540;0.786954
она;483;0.703887
Рипли;470;0.684941
его;447;0.651423
это;427;0.622277
Она;382;0.556697
Он;382;0.556697
но;369;0.537752
emphasis;368;0.536295
то;351;0.51152
ее;347;0.505691
как;320;0.466343
я;308;0.448855
из;294;0.428453
было;270;0.393477
к;268;0.390562
за;260;0.378904
все;257;0.374532
Я;245;0.357044
был;241;0.351215
по;236;0.343928
о;228;0.332269
чтобы;216;0.314782
была;202;0.294379
Это;201;0.292922
сказала;196;0.285635
бы;183;0.26669
еще;179;0.260861
когда;170;0.247745
так;168;0.24483
от;167;0.243373
у;165;0.240458
же;161;0.234629
Но;156;0.227342
а;150;0.218598
чем;146;0.212769
В;144;0.209854
ты;140;0.204025
если;130;0.189452
их;129;0.187995
до;127;0.18508
были;126;0.183623
Харрис;126;0.183623
для;122;0.177793
сказал;120;0.174879
Что;119;0.173421
мы;118;0.171964
они;117;0.170507
ей;115;0.167592
вы;110;0.160305
или;105;0.153019
Алекс;104;0.151562
быть;103;0.150104
мне;100;0.145732
спросила;99;0.144275
нее;98;0.142818
него;93;0.135531
меня;93;0.135531
этого;89;0.129702
На;87;0.126787
уже;87;0.126787
может;85;0.123872
том;83;0.120958
только;82;0.1195
И;82;0.1195
ни;82;0.1195
ему;82;0.1195
А;79;0.115128
который;79;0.115128
этом;78;0.113671
Нет;77;0.112214
себя;77;0.112214
раз;77;0.112214
этот;77;0.112214
Если;76;0.110756
есть;76;0.110756
кто;76;0.110756
Ты;75;0.109299
Они;74;0.107842
того;74;0.107842
снова;72;0.104927
которые;71;0.10347
Все;71;0.10347
Не;70;0.102013
здесь;69;0.100555
нет;68;0.0990979
Кристин;68;0.0990979
об;67;0.0976406
пока;66;0.0961833
title;66;0.0961833
дверь;66;0.0961833
время;65;0.094726
где;63;0.0918113
Да;63;0.0918113
дома;62;0.090354
знала;62;0.090354
section;62;0.090354
будет;62;0.090354
убийца;62;0.090354
нужно;62;0.090354
ней;62;0.090354
У;62;0.090354
затем;61;0.0888967
ли;59;0.085982
Мы;59;0.085982
несколько;58;0.0845247
Вы;58;0.0845247
подумала;57;0.0830674
видела;57;0.0830674
всего;56;0.08161
через;56;0.08161
них;54;0.0786954
глаза;54;0.0786954
больше;54;0.0786954
под;53;0.0772381
ним;53;0.0772381
мужчина;53;0.0772381
тебя;53;0.0772381
тот;52;0.0757808
один;52;0.0757808
со;51;0.0743234
вас;51;0.0743234
перед;50;0.0728661
тебе;50;0.0728661
агент;50;0.0728661
просто;50;0.0728661
лет;49;0.0714088
могла;49;0.0714088
дом;49;0.0714088
место;49;0.0714088
убийства;48;0.0699515
Джон;48;0.0699515
лишь;48;0.0699515
даже;48;0.0699515
Элле;48;0.0699515
двери;47;0.0684941
Банди;47;0.0684941
чего;47;0.0684941
преступления;47;0.0684941
после;47;0.0684941
нибудь;47;0.0684941
Мия;46;0.0670368
более;45;0.0655795
Клайд;45;0.0655795
Как;45;0.0655795
Его;44;0.0641222
увидела;44;0.0641222
почувствовала;44;0.0641222
там;43;0.0626649
над;43;0.0626649
назад;42;0.0612075
сейчас;42;0.0612075
свой;42;0.0612075
им;41;0.0597502
деле;41;0.0597502
мог;41;0.0597502
жертв;41;0.0597502
ничего;41;0.0597502
Ричардс;40;0.0582929
нас;40;0.0582929
empty;40;0.0582929
ФБР;40;0.0582929
line;40;0.0582929
никогда;40;0.0582929
себе;39;0.0568356
убийцы;39;0.0568356
знаю;39;0.0568356
которая;39;0.0568356
своей;39;0.0568356
вам;38;0.0553782
subtitle;38;0.0553782
руки;38;0.0553782
места;38;0.0553782
дело;38;0.0553782
убийство;37;0.0539209
Эллы;37;0.0539209
месте;37;0.0539209
собой;37;0.0539209
много;36;0.0524636
словно;36;0.0524636
самом;36;0.0524636
Ее;36;0.0524636
жертвы;36;0.0524636
два;35;0.0510063
Так;35;0.0510063
прежде;35;0.0510063
поэтому;35;0.0510063
всегда;35;0.0510063
голову;35;0.0510063
преступник;35;0.0510063
людей;35;0.0510063
во;34;0.049549
Рик;34;0.049549
сказать;34;0.049549
практически;34;0.049549
возможно;34;0.049549
немного;34;0.049549
всех;33;0.0480916
спросил;33;0.0480916
кое;33;0.0480916
могу;32;0.0466343
Дарк;32;0.0466343
посмотрела;32;0.0466343
теперь;32;0.0466343
лучше;31;0.045177
этим;31;0.045177
Кто;31;0.045177
поняла;31;0.045177
быстро;30;0.0437197
Мне;30;0.0437197
день;30;0.0437197
Алекса;30;0.0437197
другой;30;0.0437197
такой;30;0.0437197
слова;30;0.0437197
эти;30;0.0437197
Эллу;29;0.0422623
эту;29;0.0422623
одна;29;0.0422623
хотела;29;0.0422623
убийц;29;0.0422623
ними;29;0.0422623
Ей;29;0.0422623
жизни;29;0.0422623
голос;29;0.0422623
достала;28;0.040805
ж;28;0.040805
заметила;28;0.040805
ГЛАВА;28;0.040805
уверена;28;0.040805
комнаты;28;0.040805
взгляд;28;0.040805
Клайда;28;0.040805
между;28;0.040805
можно;28;0.040805
телефон;27;0.0393477
тех;27;0.0393477
машины;27;0.0393477
этой;27;0.0393477
сделала;27;0.0393477
знал;27;0.0393477
Когда;27;0.0393477
тем;27;0.0393477
именно;27;0.0393477
около;27;0.0393477
свои;27;0.0393477
думала;27;0.0393477
комнату;27;0.0393477
лицо;27;0.0393477
слишком;26;0.0378904
двух;26;0.0378904
своем;26;0.0378904
свое;26;0.0378904
тела;26;0.0378904
нам;26;0.0378904
сегодня;26;0.0378904
Шон;26;0.0378904
внимание;26;0.0378904
Хартвелл;26;0.0378904
да;26;0.0378904
которого;26;0.0378904
кого;26;0.0378904
удалось;25;0.0364331
которой;25;0.0364331
хотя;25;0.0364331
полностью;25;0.0364331
крови;25;0.0364331
серийных;25;0.0364331
времени;25;0.0364331
Затем;25;0.0364331
без;25;0.0364331
кровати;25;0.0364331
вот;25;0.0364331
чувствовала;25;0.0364331
свою;24;0.0349757
раньше;24;0.0349757
своих;24;0.0349757
Конечно;24;0.0349757
глаз;24;0.0349757
хорошо;24;0.0349757
других;24;0.0349757
преступника;24;0.0349757
начала;24;0.0349757
нем;24;0.0349757
тоже;24;0.0349757
убийцей;23;0.0335184
сюда;23;0.0335184
всю;23;0.0335184
За;23;0.0335184
очень;23;0.0335184
послышался;23;0.0335184
мере;23;0.0335184
едва;23;0.0335184
жизнь;23;0.0335184
при;23;0.0335184
По;23;0.0335184
пол;23;0.0335184
думаю;23;0.0335184
человек;23;0.0335184
человека;23;0.0335184
стала;23;0.0335184
тело;22;0.0320611
Гейси;22;0.0320611
работы;22;0.0320611
этих;22;0.0320611
верно;22;0.0320611
которым;22;0.0320611
Возможно;22;0.0320611
головой;22;0.0320611
такое;22;0.0320611
котором;22;0.0320611
пистолет;22;0.0320611
мысли;22;0.0320611
доме;22;0.0320611
часов;22;0.0320611
точно;22;0.0320611
убийств;21;0.0306038
тут;21;0.0306038
туда;21;0.0306038
небольшой;21;0.0306038
течение;21;0.0306038
крайней;21;0.0306038
руку;21;0.0306038
прямо;21;0.0306038
С;21;0.0306038
продолжила;21;0.0306038
должен;21;0.0306038
подумал;21;0.0306038
преступлений;21;0.0306038
То;21;0.0306038
потому;21;0.0306038
ноги;21;0.0306038
взяла;21;0.0306038
таким;21;0.0306038
решила;21;0.0306038
Черт;21;0.0306038
Мужчина;21;0.0306038
сторону;20;0.0291464
Здесь;20;0.0291464
секунд;20;0.0291464
О;20;0.0291464
три;20;0.0291464
запах;20;0.0291464
Хорошо;20;0.0291464
одно;20;0.0291464
Может;20;0.0291464
наконец;20;0.0291464
которых;20;0.0291464
Или;20;0.0291464
однако;20;0.0291464
рассмотреть;19;0.0276891
последний;19;0.0276891
сразу;19;0.0276891
Спасибо;19;0.0276891
повернулась;19;0.0276891
стороны;19;0.0276891
рядом;19;0.0276891
удар;19;0.0276891
стоял;19;0.0276891
наручники;19;0.0276891
виду;19;0.0276891
либо;19;0.0276891
убил;19;0.0276891
фотографии;19;0.0276891
одного;19;0.0276891
таких;19;0.0276891
можем;19;0.0276891
сделать;19;0.0276891
часть;19;0.0276891
которое;19;0.0276891
сделал;19;0.0276891
пару;19;0.0276891
Гейн;19;0.0276891
почему;19;0.0276891
полу;18;0.0262318
знает;18;0.0262318
Еще;18;0.0262318
Даже;18;0.0262318
права;18;0.0262318
оно;18;0.0262318
хотел;18;0.0262318
хочет;18;0.0262318
женщина;18;0.0262318
найти;18;0.0262318
парень;18;0.0262318
голове;18;0.0262318
портрет;18;0.0262318
будто;18;0.0262318
ответила;18;0.0262318
стал;18;0.0262318
руках;18;0.0262318
должно;18;0.0262318
Гарри;17;0.0247745
двадцать;17;0.0247745
магазин;17;0.0247745
могут;17;0.0247745
смерти;17;0.0247745
Шона;17;0.0247745
придется;17;0.0247745
жертву;17;0.0247745
Нужно;17;0.0247745
увидел;17;0.0247745
чувство;17;0.0247745
Там;17;0.0247745
Пока;17;0.0247745
минут;17;0.0247745
обычно;17;0.0247745
Через;17;0.0247745
одним;17;0.0247745
стену;17;0.0247745
буду;17;0.0247745
уж;17;0.0247745
всем;17;0.0247745
внутрь;17;0.0247745
пытаясь;17;0.0247745
Из;16;0.0233172
Извините;16;0.0233172
рук;16;0.0233172
имя;16;0.0233172
должна;16;0.0233172
головы;16;0.0233172
действий;16;0.0233172
полиции;16;0.0233172
Однако;16;0.0233172
спиной;16;0.0233172
настолько;16;0.0233172
парня;16;0.0233172
Харриса;16;0.0233172
отца;16;0.0233172
домой;16;0.0233172
Рика;16;0.0233172
дней;16;0.0233172
также;16;0.0233172
какой;16;0.0233172
обратно;16;0.0233172
новенькая;16;0.0233172
момент;16;0.0233172
агента;16;0.0233172
Почему;16;0.0233172
хочу;16;0.0233172
конце;16;0.0233172
Теперь;15;0.0218598
одном;15;0.0218598
мгновение;15;0.0218598
поднял;15;0.0218598
делом;15;0.0218598
значит;15;0.0218598
ожидала;15;0.0218598
своего;15;0.0218598
люди;15;0.0218598
детали;15;0.0218598
свет;15;0.0218598
Вот;15;0.0218598
волосы;15;0.0218598
доктор;15;0.0218598
вошел;15;0.0218598
вспомнила;15;0.0218598
жертвой;15;0.0218598
стол;15;0.0218598
пришлось;15;0.0218598
подняла;15;0.0218598
сама;15;0.0218598
нашла;15;0.0218598
две;15;0.0218598
говорить;15;0.0218598
коридор;15;0.0218598
убийцу;15;0.0218598
Вдруг;15;0.0218598
открыл;15;0.0218598
руками;15;0.0218598
Нам;15;0.0218598
После;15;0.0218598
пор;15;0.0218598
кивнула;15;0.0218598
делать;15;0.0218598
мужчины;15;0.0218598
напротив;15;0.0218598
