Word;Frequency;Frequency(%)
p;5431;7.63736
–;2453;3.44954
и;1383;1.94485
в;1300;1.82813
не;1051;1.47797
что;1024;1.44
на;864;1.215
Элла;742;1.04344
с;576;0.810001
он;540;0.759376
она;483;0.67922
Рипли;470;0.660939
его;447;0.628595
это;427;0.60047
Она;382;0.537188
Он;382;0.537188
но;369;0.518907
emphasis;368;0.517501
то;351;0.493595
ее;347;0.48797
как;320;0.450001
я;308;0.433126
из;294;0.413438
было;270;0.379688
к;268;0.376876
за;260;0.365626
все;257;0.361407
Я;245;0.344532
был;241;0.338907
по;236;0.331876
о;228;0.320626
чтобы;216;0.30375
была;202;0.284063
Это;201;0.282657
сказала;196;0.275625
бы;183;0.257344
еще;179;0.251719
когда;170;0.239063
так;168;0.23625
от;167;0.234844
у;165;0.232032
же;161;0.226407
Но;156;0.219375
а;150;0.210938
чем;146;0.205313
В;144;0.2025
ты;140;0.196875
если;130;0.182813
их;129;0.181407
до;127;0.178594
Харрис;126;0.177188
были;126;0.177188
для;122;0.171563
сказал;120;0.16875
Что;119;0.167344
мы;118;0.165938
они;117;0.164532
ей;115;0.161719
вы;110;0.154688
или;105;0.147656
Алекс;104;0.14625
быть;103;0.144844
мне;100;0.140625
спросила;99;0.139219
нее;98;0.137813
меня;93;0.130781
него;93;0.130781
этого;89;0.125156
На;87;0.122344
уже;87;0.122344
может;85;0.119531
том;83;0.116719
ни;82;0.115313
И;82;0.115313
ему;82;0.115313
только;82;0.115313
А;79;0.111094
который;79;0.111094
этом;78;0.109688
себя;77;0.108281
этот;77;0.108281
Нет;77;0.108281
раз;77;0.108281
есть;76;0.106875
кто;76;0.106875
Если;76;0.106875
Ты;75;0.105469
Они;74;0.104063
того;74;0.104063
снова;72;0.10125
Все;71;0.0998439
которые;71;0.0998439
Не;70;0.0984377
здесь;69;0.0970314
нет;68;0.0956251
Кристин;68;0.0956251
об;67;0.0942189
title;66;0.0928126
пока;66;0.0928126
дверь;66;0.0928126
время;65;0.0914064
Да;63;0.0885939
где;63;0.0885939
section;62;0.0871876
дома;62;0.0871876
У;62;0.0871876
знала;62;0.0871876
нужно;62;0.0871876
будет;62;0.0871876
убийца;62;0.0871876
ней;62;0.0871876
затем;61;0.0857814
Мы;59;0.0829689
ли;59;0.0829689
несколько;58;0.0815626
Вы;58;0.0815626
видела;57;0.0801564
подумала;57;0.0801564
через;56;0.0787501
всего;56;0.0787501
них;54;0.0759376
больше;54;0.0759376
глаза;54;0.0759376
под;53;0.0745314
мужчина;53;0.0745314
тебя;53;0.0745314
ним;53;0.0745314
тот;52;0.0731251
один;52;0.0731251
со;51;0.0717189
вас;51;0.0717189
просто;50;0.0703126
перед;50;0.0703126
агент;50;0.0703126
тебе;50;0.0703126
дом;49;0.0689064
могла;49;0.0689064
место;49;0.0689064
лет;49;0.0689064
Элле;48;0.0675001
даже;48;0.0675001
лишь;48;0.0675001
Джон;48;0.0675001
убийства;48;0.0675001
чего;47;0.0660939
преступления;47;0.0660939
нибудь;47;0.0660939
двери;47;0.0660939
Банди;47;0.0660939
после;47;0.0660939
Мия;46;0.0646876
более;45;0.0632813
Клайд;45;0.0632813
Как;45;0.0632813
почувствовала;44;0.0618751
Его;44;0.0618751
увидела;44;0.0618751
там;43;0.0604688
над;43;0.0604688
свой;42;0.0590626
назад;42;0.0590626
сейчас;42;0.0590626
деле;41;0.0576563
им;41;0.0576563
мог;41;0.0576563
жертв;41;0.0576563
ничего;41;0.0576563
ФБР;40;0.0562501
line;40;0.0562501
никогда;40;0.0562501
нас;40;0.0562501
empty;40;0.0562501
Ричардс;40;0.0562501
себе;39;0.0548438
своей;39;0.0548438
которая;39;0.0548438
знаю;39;0.0548438
убийцы;39;0.0548438
subtitle;38;0.0534376
дело;38;0.0534376
места;38;0.0534376
руки;38;0.0534376
вам;38;0.0534376
собой;37;0.0520313
убийство;37;0.0520313
Эллы;37;0.0520313
месте;37;0.0520313
самом;36;0.0506251
словно;36;0.0506251
жертвы;36;0.0506251
Ее;36;0.0506251
много;36;0.0506251
два;35;0.0492188
всегда;35;0.0492188
Так;35;0.0492188
прежде;35;0.0492188
голову;35;0.0492188
поэтому;35;0.0492188
преступник;35;0.0492188
людей;35;0.0492188
практически;34;0.0478126
сказать;34;0.0478126
возможно;34;0.0478126
во;34;0.0478126
немного;34;0.0478126
Рик;34;0.0478126
кое;33;0.0464063
всех;33;0.0464063
спросил;33;0.0464063
теперь;32;0.0450001
посмотрела;32;0.0450001
Дарк;32;0.0450001
могу;32;0.0450001
�;31;0.0435938
поняла;31;0.0435938
Кто;31;0.0435938
лучше;31;0.0435938
этим;31;0.0435938
Мне;30;0.0421876
быстро;30;0.0421876
эти;30;0.0421876
слова;30;0.0421876
Алекса;30;0.0421876
другой;30;0.0421876
день;30;0.0421876
такой;30;0.0421876
хотела;29;0.0407813
одна;29;0.0407813
убийц;29;0.0407813
голос;29;0.0407813
жизни;29;0.0407813
Эллу;29;0.0407813
эту;29;0.0407813
Ей;29;0.0407813
ними;29;0.0407813
заметила;28;0.0393751
ГЛАВА;28;0.0393751
достала;28;0.0393751
уверена;28;0.0393751
комнаты;28;0.0393751
между;28;0.0393751
ж;28;0.0393751
Клайда;28;0.0393751
можно;28;0.0393751
взгляд;28;0.0393751
около;27;0.0379688
этой;27;0.0379688
тем;27;0.0379688
Когда;27;0.0379688
тех;27;0.0379688
сделала;27;0.0379688
лицо;27;0.0379688
комнату;27;0.0379688
свои;27;0.0379688
думала;27;0.0379688
машины;27;0.0379688
знал;27;0.0379688
телефон;27;0.0379688
именно;27;0.0379688
сегодня;26;0.0365626
тела;26;0.0365626
слишком;26;0.0365626
которого;26;0.0365626
да;26;0.0365626
своем;26;0.0365626
кого;26;0.0365626
Хартвелл;26;0.0365626
двух;26;0.0365626
свое;26;0.0365626
Шон;26;0.0365626
внимание;26;0.0365626
нам;26;0.0365626
Затем;25;0.0351563
хотя;25;0.0351563
полностью;25;0.0351563
чувствовала;25;0.0351563
кровати;25;0.0351563
серийных;25;0.0351563
без;25;0.0351563
времени;25;0.0351563
крови;25;0.0351563
удалось;25;0.0351563
вот;25;0.0351563
которой;25;0.0351563
хорошо;24;0.0337501
Конечно;24;0.0337501
глаз;24;0.0337501
начала;24;0.0337501
свою;24;0.0337501
преступника;24;0.0337501
других;24;0.0337501
раньше;24;0.0337501
нем;24;0.0337501
своих;24;0.0337501
тоже;24;0.0337501
жизнь;23;0.0323438
думаю;23;0.0323438
при;23;0.0323438
очень;23;0.0323438
человека;23;0.0323438
убийцей;23;0.0323438
За;23;0.0323438
мере;23;0.0323438
По;23;0.0323438
послышался;23;0.0323438
сюда;23;0.0323438
всю;23;0.0323438
пол;23;0.0323438
человек;23;0.0323438
стала;23;0.0323438
едва;23;0.0323438
Гейси;22;0.0309375
верно;22;0.0309375
котором;22;0.0309375
головой;22;0.0309375
часов;22;0.0309375
доме;22;0.0309375
работы;22;0.0309375
этих;22;0.0309375
тело;22;0.0309375
Возможно;22;0.0309375
которым;22;0.0309375
такое;22;0.0309375
точно;22;0.0309375
мысли;22;0.0309375
пистолет;22;0.0309375
убийств;21;0.0295313
преступлений;21;0.0295313
прямо;21;0.0295313
ноги;21;0.0295313
таким;21;0.0295313
решила;21;0.0295313
продолжила;21;0.0295313
крайней;21;0.0295313
небольшой;21;0.0295313
туда;21;0.0295313
тут;21;0.0295313
должен;21;0.0295313
потому;21;0.0295313
Мужчина;21;0.0295313
течение;21;0.0295313
руку;21;0.0295313
С;21;0.0295313
подумал;21;0.0295313
взяла;21;0.0295313
Черт;21;0.0295313
То;21;0.0295313
однако;20;0.028125
Здесь;20;0.028125
Или;20;0.028125
запах;20;0.028125
сторону;20;0.028125
которых;20;0.028125
Хорошо;20;0.028125
О;20;0.028125
секунд;20;0.028125
наконец;20;0.028125
одно;20;0.028125
три;20;0.028125
Может;20;0.028125
повернулась;19;0.0267188
пару;19;0.0267188
которое;19;0.0267188
удар;19;0.0267188
Спасибо;19;0.0267188
либо;19;0.0267188
убил;19;0.0267188
наручники;19;0.0267188
стоял;19;0.0267188
Гейн;19;0.0267188
таких;19;0.0267188
стороны;19;0.0267188
сразу;19;0.0267188
рассмотреть;19;0.0267188
можем;19;0.0267188
одного;19;0.0267188
рядом;19;0.0267188
сделать;19;0.0267188
последний;19;0.0267188
сделал;19;0.0267188
виду;19;0.0267188
фотографии;19;0.0267188
почему;19;0.0267188
часть;19;0.0267188
Даже;18;0.0253125
руках;18;0.0253125
ответила;18;0.0253125
женщина;18;0.0253125
найти;18;0.0253125
стал;18;0.0253125
парень;18;0.0253125
хочет;18;0.0253125
оно;18;0.0253125
должно;18;0.0253125
Еще;18;0.0253125
хотел;18;0.0253125
полу;18;0.0253125
будто;18;0.0253125
голове;18;0.0253125
знает;18;0.0253125
права;18;0.0253125
портрет;18;0.0253125
Гарри;17;0.0239063
магазин;17;0.0239063
обычно;17;0.0239063
Там;17;0.0239063
одним;17;0.0239063
жертву;17;0.0239063
всем;17;0.0239063
пытаясь;17;0.0239063
чувство;17;0.0239063
Нужно;17;0.0239063
смерти;17;0.0239063
двадцать;17;0.0239063
придется;17;0.0239063
могут;17;0.0239063
Через;17;0.0239063
Шона;17;0.0239063
Пока;17;0.0239063
буду;17;0.0239063
стену;17;0.0239063
минут;17;0.0239063
уж;17;0.0239063
внутрь;17;0.0239063
увидел;17;0.0239063
должна;16;0.0225
имя;16;0.0225
Извините;16;0.0225
действий;16;0.0225
спиной;16;0.0225
дней;16;0.0225
настолько;16;0.0225
Почему;16;0.0225
хочу;16;0.0225
рук;16;0.0225
отца;16;0.0225
какой;16;0.0225
также;16;0.0225
новенькая;16;0.0225
парня;16;0.0225
полиции;16;0.0225
конце;16;0.0225
обратно;16;0.0225
Однако;16;0.0225
головы;16;0.0225
агента;16;0.0225
домой;16;0.0225
Харриса;16;0.0225
момент;16;0.0225
Из;16;0.0225
Рика;16;0.0225
люди;15;0.0210938
своего;15;0.0210938
вдруг;15;0.0210938
детали;15;0.0210938
Вот;15;0.0210938
вспомнила;15;0.0210938
делать;15;0.0210938
этому;15;0.0210938
говорить;15;0.0210938
волосы;15;0.0210938
Нам;15;0.0210938
Вдруг;15;0.0210938
мужчины;15;0.0210938
кивнула;15;0.0210938
нашла;15;0.0210938
коридор;15;0.0210938
пор;15;0.0210938
открыл;15;0.0210938
подняла;15;0.0210938
убийцу;15;0.0210938
жертвой;15;0.0210938
После;15;0.0210938
стол;15;0.0210938
свет;15;0.0210938
одном;15;0.0210938
делом;15;0.0210938
напротив;15;0.0210938
две;15;0.0210938
мгновение;15;0.0210938
доктор;15;0.0210938
руками;15;0.0210938
ожидала;15;0.0210938
сама;15;0.0210938
вошел;15;0.0210938
Теперь;15;0.0210938
значит;15;0.0210938
поднял;15;0.0210938
пришлось;15;0.0210938
тридцать;14;0.0196875
вернулась;14;0.0196875
машину;14;0.0196875
Уильям;14;0.0196875
Агент;14;0.0196875
открыла;14;0.0196875
четыре;14;0.0196875
говоря;14;0.0196875
лице;14;0.0196875
Ни;14;0.0196875
городе;14;0.0196875
самое;14;0.0196875
некоторые;14;0.0196875
Кроме;14;0.0196875
дать;14;0.0196875
Думаю;14;0.0196875
резко;14;0.0196875
пять;14;0.0196875
подробности;14;0.0196875
работала;14;0.0196875
те;14;0.0196875
части;14;0.0196875
возможность;14;0.0196875
виски;14;0.0196875
всей;14;0.0196875
сбежать;14;0.0196875
серийным;14;0.0196875
будут;14;0.0196875
сам;14;0.0196875
слышала;14;0.0196875
вечера;14;0.0196875
большой;14;0.0196875
Именно;14;0.0196875
живет;14;0.0196875
правда;14;0.0196875
наш;14;0.0196875
почти;14;0.0196875
тяжело;14;0.0196875
вокруг;14;0.0196875
другом;13;0.0182813
внутри;13;0.0182813
знаете;13;0.0182813
вещи;13;0.0182813
конца;13;0.0182813
первой;13;0.0182813
думать;13;0.0182813
увидеть;13;0.0182813
зовут;13;0.0182813
никого;13;0.0182813
достаточно;13;0.0182813
казалось;13;0.0182813
кажется;13;0.0182813
каждой;13;0.0182813
Мистер;13;0.0182813
лица;13;0.0182813
информацию;13;0.0182813
кем;13;0.0182813
вообще;13;0.0182813
звук;13;0.0182813
ближе;13;0.0182813
убийством;13;0.0182813
задумалась;13;0.0182813
теории;13;0.0182813
встала;13;0.0182813
Этот;13;0.0182813
начал;13;0.0182813
рассказать;13;0.0182813
выглядел;13;0.0182813
темноте;13;0.0182813
К;13;0.0182813
автомобиль;13;0.0182813
Где;13;0.0182813
сможет;13;0.0182813
такие;13;0.0182813
одной;13;0.0182813
делал;13;0.0182813
ручку;13;0.0182813
мужчину;13;0.0182813
одну;13;0.0182813
магазина;13;0.0182813
руке;13;0.0182813
Дженна;13;0.0182813
»;13;0.0182813
своими;13;0.0182813
можете;13;0.0182813
совсем;13;0.0182813
порядке;13;0.0182813
поскольку;13;0.0182813
менее;13;0.0182813
решил;13;0.0182813
Джона;13;0.0182813
своим;13;0.0182813
раны;13;0.0182813
девушек;13;0.0182813
глазами;13;0.0182813
тому;13;0.0182813
вниз;13;0.0182813
стола;13;0.0182813
удастся;13;0.0182813
часто;12;0.016875
пытался;12;0.016875
потом;12;0.016875
успела;12;0.016875
надеялась;12;0.016875
номер;12;0.016875
Поэтому;12;0.016875
случае;12;0.016875
хотите;12;0.016875
впервые;12;0.016875
работе;12;0.016875
лицом;12;0.016875
 –;12;0.016875
окна;12;0.016875
нашли;12;0.016875
образом;12;0.016875
боль;12;0.016875
кофе;12;0.016875
подошла;12;0.016875
теорию;12;0.016875
положила;12;0.016875
Несмотря;12;0.016875
скорее;12;0.016875
Дамер;12;0.016875
четырех;12;0.016875
стояла;12;0.016875
медленно;12;0.016875
знать;12;0.016875
дня;12;0.016875
диван;12;0.016875
услышала;12;0.016875
ночи;12;0.016875
произошло;12;0.016875
возле;12;0.016875
Прежде;12;0.016875
принялся;12;0.016875
Тогда;12;0.016875
окно;12;0.016875
утром;12;0.016875
каждый;11;0.0154688
ночь;11;0.0154688
Просто;11;0.0154688
закричал;11;0.0154688
истории;11;0.0154688
черт;11;0.0154688
Шериф;11;0.0154688
работу;11;0.0154688
теория;11;0.0154688
Ричардса;11;0.0154688
могли;11;0.0154688
убийствах;11;0.0154688
мимо;11;0.0154688
Вам;11;0.0154688
Меня;11;0.0154688
стены;11;0.0154688
находится;11;0.0154688
другие;11;0.0154688
Тот;11;0.0154688
действительно;11;0.0154688
вами;11;0.0154688
рождения;11;0.0154688
Должно;11;0.0154688
взял;11;0.0154688
принялась;11;0.0154688
Ничего;11;0.0154688
ту;11;0.0154688
вышел;11;0.0154688
можешь;11;0.0154688
самых;11;0.0154688
работа;11;0.0154688
провел;11;0.0154688
отсюда;11;0.0154688
попасть;11;0.0154688
иначе;11;0.0154688
сказали;11;0.0154688
хотелось;11;0.0154688
улице;11;0.0154688
Ну;11;0.0154688
способ;11;0.0154688
гостиной;11;0.0154688
никто;11;0.0154688
абсолютно;11;0.0154688
закричала;11;0.0154688
полено;11;0.0154688
коронера;11;0.0154688
вопросов;11;0.0154688
Харрису;11;0.0154688
больницу;11;0.0154688
силуэт;11;0.0154688
лбу;11;0.0154688
спасибо;11;0.0154688
серийного;11;0.0154688
несмотря;11;0.0154688
вопрос;11;0.0154688
углу;11;0.0154688
тогда;11;0.0154688
Алексу;11;0.0154688
вошла;11;0.0154688
